Area Code,Date,Product,Product Line,Product Type,State,Territory,Territory Size,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
970,01-01-2012,Decaf Irish Cream,Beans,Coffee,Colorado,Central,Major Territory,Decaf,100,140,110,240,95,821,139,26,1,101,234,38
309,01-01-2012,Decaf Irish Cream,Beans,Coffee,Illinois,Central,Major Territory,Decaf,100,140,100,240,95,608,139,30,1,87,234,52
614,01-01-2012,Decaf Irish Cream,Beans,Coffee,Ohio,Central,Major Territory,Decaf,60,90,20,150,63,435,87,57,1,0,150,87
754,01-01-2012,Decaf Irish Cream,Beans,Coffee,Florida,East,Major Territory,Decaf,80,110,70,190,84,500,116,26,1,67,200,49
325,01-01-2012,Decaf Irish Cream,Beans,Coffee,Texas,South,Major Territory,Decaf,100,130,100,230,83,623,107,27,1,68,190,39
650,01-01-2012,Decaf Irish Cream,Beans,Coffee,California,West,Major Territory,Decaf,180,-40,-120,140,144,862,-26,47,1,-117,118,91
720,01-01-2012,Decaf Espresso,Beans,Espresso,Colorado,Central,Major Territory,Decaf,80,130,80,210,72,558,108,23,1,53,180,55
630,01-01-2012,Decaf Espresso,Beans,Espresso,Illinois,Central,Major Territory,Decaf,260,270,180,530,228,"1,459",228,63,1,140,456,88
614,01-01-2012,Decaf Espresso,Beans,Espresso,Ohio,Central,Major Territory,Decaf,60,90,40,150,58,338,72,22,1,16,130,56
754,01-01-2012,Decaf Espresso,Beans,Espresso,Florida,East,Major Territory,Decaf,70,100,60,170,77,432,103,25,1,50,180,53
956,01-01-2012,Decaf Espresso,Beans,Espresso,Texas,South,Major Territory,Decaf,40,70,60,110,54,456,80,15,1,54,134,26
213,01-01-2012,Decaf Espresso,Beans,Espresso,California,West,Major Territory,Decaf,220,300,200,520,234,"1,310",312,77,1,203,546,109
719,01-01-2012,Amaretto,Beans,Coffee,Colorado,Central,Major Territory,Regular,90,130,100,220,89,777,130,24,1,94,219,36
740,01-01-2012,Amaretto,Beans,Coffee,Ohio,Central,Major Territory,Regular,60,80,50,140,60,336,80,19,1,34,140,46
970,01-01-2012,Colombian,Beans,Coffee,Colorado,Central,Major Territory,Regular,80,110,80,190,83,623,107,27,1,68,190,39
217,01-01-2012,Colombian,Beans,Coffee,Illinois,Central,Major Territory,Regular,150,210,130,360,144,862,201,47,1,111,345,90
614,01-01-2012,Colombian,Beans,Coffee,Ohio,Central,Major Territory,Regular,60,80,50,140,57,364,83,18,1,42,140,41
954,01-01-2012,Colombian,Beans,Coffee,Florida,East,Major Territory,Regular,80,110,70,190,84,651,126,27,1,68,210,58
413,01-01-2012,Colombian,Beans,Coffee,Massachusetts,East,Major Territory,Regular,60,400,360,460,72,558,422,23,1,367,494,55
716,01-01-2012,Colombian,Beans,Coffee,New York,East,Major Territory,Regular,260,380,260,640,271,"2,101",407,94,1,262,678,145
409,01-01-2012,Colombian,Beans,Coffee,Texas,South,Major Territory,Regular,260,300,220,560,207,965,245,64,1,159,452,86
916,01-01-2012,Amaretto,Beans,Coffee,California,West,Major Territory,Regular,110,70,30,180,95,608,50,30,1,-2,145,52
559,01-01-2012,Colombian,Beans,Coffee,California,West,Major Territory,Regular,340,500,370,840,271,"2,101",407,94,1,262,678,145
303,01-01-2012,Caffe Mocha,Beans,Espresso,Colorado,Central,Major Territory,Regular,60,90,70,150,54,456,80,15,1,54,134,26
